Global Code,Global Name,Region Code,Region Name,Sub-region Code,Sub-region Name,Intermediate Region Code,Intermediate Region Name,combSubReg,Country or Area,M49 Code,ISO-alpha3 Code,Least Developed Countries (LDC),Land Locked Developing Countries (LLDC),Small Island Developing States (SIDS),Developed / Developing Countries
1,World,2,Africa,15,Northern Africa,,,Northern Africa,Algeria,12,DZA,,,,Developing
1,World,2,Africa,15,Northern Africa,,,Northern Africa,Egypt,818,EGY,,,,Developing
1,World,2,Africa,15,Northern Africa,,,Northern Africa,Libya,434,LBY,,,,Developing
1,World,2,Africa,15,Northern Africa,,,Northern Africa,Morocco,504,MAR,,,,Developing
1,World,2,Africa,15,Northern Africa,,,Northern Africa,Sudan,729,SDN,x,,,Developing
1,World,2,Africa,15,Northern Africa,,,Northern Africa,Tunisia,788,TUN,,,,Developing
1,World,2,Africa,15,Northern Africa,,,Northern Africa,Western Sahara,732,ESH,,,,Developing
1,World,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa,Eastern Africa,British Indian Ocean Territory,86,IOT,,,,Developing
1,World,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa,Eastern Africa,Burundi,108,BDI,x,x,,Developing
1,World,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa,Eastern Africa,Comoros,174,COM,x,,x,Developing
1,World,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa,Eastern Africa,Djibouti,262,DJI,x,,,Developing
1,World,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa,Eastern Africa,Eritrea,232,ERI,x,,,Developing
1,World,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa,Eastern Africa,Ethiopia,231,ETH,x,x,,Developing
1,World,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa,Eastern Africa,French Southern Territories,260,ATF,,,,Developing
1,World,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa,Eastern Africa,Kenya,404,KEN,,,,Developing
1,World,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa,Eastern Africa,Madagascar,450,MDG,x,,,Developing
1,World,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa,Eastern Africa,Malawi,454,MWI,x,x,,Developing
1,World,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa,Eastern Africa,Mauritius,480,MUS,,,x,Developing
1,World,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa,Eastern Africa,Mayotte,175,MYT,,,,Developing
1,World,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa,Eastern Africa,Mozambique,508,MOZ,x,,,Developing
1,World,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa,Eastern Africa,Réunion,638,REU,,,,Developing
1,World,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa,Eastern Africa,Rwanda,646,RWA,x,x,,Developing
1,World,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa,Eastern Africa,Seychelles,690,SYC,,,x,Developing
1,World,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa,Eastern Africa,Somalia,706,SOM,x,,,Developing
1,World,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa,Eastern Africa,South Sudan,728,SSD,x,x,,Developing
1,World,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa,Eastern Africa,Uganda,800,UGA,x,x,,Developing
1,World,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa,Eastern Africa,United Republic of Tanzania,834,TZA,x,,,Developing
1,World,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa,Eastern Africa,Zambia,894,ZMB,x,x,,Developing
1,World,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa,Eastern Africa,Zimbabwe,716,ZWE,,x,,Developing
1,World,2,Africa,202,Sub-Saharan Africa,17,Middle Africa,Middle Africa,Angola,24,AGO,x,,,Developing
1,World,2,Africa,202,Sub-Saharan Africa,17,Middle Africa,Middle Africa,Cameroon,120,CMR,,,,Developing
